OBJECTID,FIPS,Name,State,Households,"Percent of Households that Have No Computer, Smartphone, or Tablet",Percent of Households with No Internet Access,Percent of Population whose income in the past 12 months is below poverty level,Ookla Median Download Speed (Mbps),Ookla Median Upload Speed (Mbps),Population 2019 (FCC Estimate),M-Lab Median Download Speed (Mbps),M-Lab Median Upload Speed (Mbps),Microsoft Broadband Usage Percentage,Microsoft Broadband Usage,ShapeArea,ShapeLength
1,1001,Autauga County,Alabama,21397,10.8,17.2,15.2,72.884,11.212,55869,40.80152,10.77479,28.00,0.28,2208587901,249970.1915
2,1003,Baldwin County,Alabama,80930,9.1,13.8,10.4,25.996,9.529,223230,16.93789,4.648978,30.00,0.3,5909266213,536067.2537
3,1005,Barbour County,Alabama,9345,22.8,32.6,30.7,30.183,10.045,24686,24.93791,6.325272,18.00,0.18,3257906792,320882.8479
4,1007,Bibb County,Alabama,6891,21.9,26.7,18.1,15.956,4.931,22394,13.15805,6.211988,7.00,0.07,2311990190,227919.4181
5,1009,Blount County,Alabama,20847,19,23.9,13.6,15.635,5.02,57826,8.286291,2.143121,9.00,0.09,2456904167,292630.2818
6,1011,Bullock County,Alabama,3521,22.7,30.7,28.9,10.491,1.423,10101,13.92588,6.791692,5.00,0.05,2262904558,249092.7965
7,1013,Butler County,Alabama,6506,26.7,31,22.5,22.627,5.67,19448,17.06744,5.415665,11.00,0.11,2794760969,221283.3572
8,1015,Calhoun County,Alabama,44605,14.3,21.2,17.9,44.698,10.25,113605,27.65638,5.604626,32.00,0.32,2300852426,263781.3454
9,1017,Chambers County,Alabama,13448,20.6,28.1,17.3,45.177,10.147,33254,30.89799,7.041791,34.00,0.34,2222662394,208606.0413
10,1019,Cherokee County,Alabama,10737,18.6,25,13.9,11.831,3.22,26196,6.816566,1.459874,10.00,0.1,2276002224,237079.5935
11,1021,Chilton County,Alabama,16927,19.9,27.3,19.1,13.888,1.904,44424,8.370593,1.604253,5.00,0.05,2578838446,248662.8199
12,1023,Choctaw County,Alabama,5300,23.7,32.6,23.3,7.434,1.762,12589,4.214506,0.889175,2.00,0.02,3327536437,324953.7809
13,1025,Clarke County,Alabama,9090,29.7,36.4,23.2,13.953,3.132,23622,19.00099,5.789237,5.00,0.05,4492990576,455174.0147
14,1027,Clay County,Alabama,5198,18.8,26.1,17.9,10.21,1.797,13235,20.37184,11.78389,13.00,0.13,2251227967,244308.319
15,1029,Cleburne County,Alabama,5680,18.6,32,17.3,12.177,1.884,14910,16.68074,7.376686,5.00,0.05,2103518756,264790.9458
16,1031,Coffee County,Alabama,19924,12.4,17,15.1,58.273,11.474,52340,22.76119,7.051555,39.00,0.39,2426766484,203468.7142
17,1033,Colbert County,Alabama,21880,18.8,25.2,15.5,39.811,10.253,55241,26.99183,6.883451,26.00,0.26,2394898979,262716.073
18,1035,Conecuh County,Alabama,4553,38.5,44.1,17.6,14.754,4.98,12067,9.432722,2.425148,5.00,0.05,3042810028,309795.3243
19,1037,Coosa County,Alabama,4032,19.3,27.2,13.5,38.5,8.652,10663,13.40831,3.910242,9.00,0.09,2456907512,209661.8481
20,1039,Covington County,Alabama,14852,21.4,26.3,18.6,34.703,9.149,37049,22.45458,8.594269,20.00,0.2,3710244592,288483.9933
21,1041,Crenshaw County,Alabama,4943,23.2,30.5,15.2,26.921,10.459,13772,34.12159,20.24271,10.00,0.1,2194020470,286131.1927
22,1043,Cullman County,Alabama,31034,17,22,14.9,30.788,9.769,83768,23.28029,6.45333,27.00,0.27,2861200481,295392.657
23,1045,Dale County,Alabama,18806,13.2,18.4,17.6,43.696,11.148,49172,14.12335,3.802868,27.00,0.27,2007843657,200998.0996
24,1047,Dallas County,Alabama,15910,24.6,27.1,29.1,33.672,9.053,37196,27.96789,6.19824,19.00,0.19,3615260196,375473.7303
25,1049,DeKalb County,Alabama,26040,18.3,25.1,21.1,46.964,11.431,71513,29.04636,13.8587,30.00,0.3,2973816217,274854.1898
26,1051,Elmore County,Alabama,29708,11.7,15.9,11.5,53.068,11.426,81209,32.93013,8.264473,37.00,0.37,2404342459,273321.8904
27,1053,Escambia County,Alabama,13089,30.9,37.3,22.2,21.899,7.239,36633,17.68921,5.887384,14.00,0.14,3379387383,290489.6619
28,1055,Etowah County,Alabama,38942,14.8,19.5,17.4,60.412,11.454,102268,26.71278,7.404764,32.00,0.32,2074840337,252677.6269
29,1057,Fayette County,Alabama,6802,20.7,28,19.4,18.704,3.925,16302,19.04374,3.212526,6.00,0.06,2362301172,222371.1384
30,1059,Franklin County,Alabama,11048,27,33.3,19.4,27.151,7.389,31362,27.70773,6.164603,12.00,0.12,2467990458,210530.7916
31,1061,Geneva County,Alabama,10383,19.3,28.1,22,18.918,6.412,26271,39.08599,10.45888,7.00,0.07,2051355954,212054.2325
32,1063,Greene County,Alabama,2951,37.8,48.1,38.1,10.734,2.065,8111,7.403216,3.351056,2.00,0.02,2428713180,429975.2631
33,1065,Hale County,Alabama,5650,27.6,33.8,24.2,24.554,6.152,14651,25.09667,6.067783,9.00,0.09,2411244653,299733.0198
34,1067,Henry County,Alabama,6630,15.6,22.4,13.8,16.23,4.387,17205,16.41494,2.937861,7.00,0.07,2031500363,199590.2109
35,1069,Houston County,Alabama,39311,17,22.3,18.2,44.238,10.752,105882,20.76709,5.680099,39.00,0.39,2063524546,246322.9165
36,1071,Jackson County,Alabama,20695,19.5,25.2,18.6,39.681,14.932,51626,22.70861,12.05809,27.00,0.27,4336075540,321761.3541
37,1073,Jefferson County,Alabama,261231,12.1,16.9,16,77.234,11.505,658573,30.29947,9.167439,38.00,0.38,4203176596,349862.0106
