Date,Less than high school graduate,High school graduate,Some college,College graduate
3/31/00,0,1,0,1
3/1/01,2,4,8,11
9/10/01,2,5,8,13
9/19/01,1,4,11,12
10/1/01,0,5,6,10
10/7/01,0,4,8,11
10/18/01,3,6,9,12
11/18/01,1,5,11,14
12/23/01,3,4,11,17
1/31/02,4,4,11,16
5/19/02,3,6,14,18
7/26/02,3,7,15,17
10/6/02,3,10,20,24
10/27/02,9,6,13,22
11/24/02,4,10,18,24
12/22/02,2,7,15,23
3/24/03,4,12,17,26
3/25/03,4,12,18,27
5/20/03,5,11,20,25
6/24/03,5,10,24,24
8/3/03,4,12,20,29
12/14/03,9,12,24,31
3/1/04,7,16,31,40
3/17/04,10,19,31,39
6/17/04,8,16,29,38
7/3/04,6,18,28,42
11/22/04,7,14,31,47
11/30/04,,13,31,47
2/9/05,12,19,34,47
3/21/05,9,20,36,47
6/7/05,13,23,39,52
12/8/05,13,27,44,56
12/31/05,14,25,44,55
2/6/06,19,29,50,58
3/28/06,19,30,49,63
4/6/06,17,32,48,63
8/31/06,12,31,52,66
12/4/06,17,34,55,69
12/30/06,16,32,53,68
9/5/07,26,39,63,72
12/2/07,22,43,63,75
1/13/08,21,40,61,72
5/11/08,29,39,64,78
8/10/08,24,48,68,78
8/31/08,22,44,67,82
12/4/08,20,45,67,81
12/20/08,17,43,65,84
4/19/09,27,51,69,82
6/21/09,,46,75,86
9/14/09,25,54,71,84
12/27/09,24,45,73,82
1/19/10,28,49,71,82
5/30/10,31,51,75,86
9/13/10,22,49,72,82
11/24/10,22,50,71,82
12/21/10,27,51,76,80
5/22/11,22,48,71,83
8/26/11,22,52,73,85
1/8/12,23,56,80,87
2/19/12,25,52,76,90
4/3/12,34,55,74,87
11/10/12,29,55,78,87
12/9/12,27,56,73,85
5/19/13,37,57,78,89
9/30/13,28,58,80,90
4/12/15,22,53,75,86
7/12/15,30,54,74,87
11/15/15,22,56,75,88
4/4/16,24,59,80,90
11/6/16,34,62,80,91
1/10/18,24,56,68,85
2/7/19,46,59,77,93
2/8/21,48,60,80,94
